City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hovd,75,NO,1570871391,93,63.83,10.7,45.0,3.36
Ostrovnoy,100,RU,1570871392,95,68.05,39.51,32.97,6.42
Plettenberg Bay,90,ZA,1570871392,71,-34.05,23.37,63.72,9.23
Carnarvon,66,ZA,1570871392,7,-30.97,22.13,82.42,17.93
Kisangani,90,CD,1570871393,83,0.52,25.21,77.0,4.7
Linjiang,3,CN,1570871393,61,41.81,126.91,44.06,4.28
Lamas,25,PE,1570871393,88,-6.42,-76.52,65.14,1.41
Dikson,100,RU,1570871393,89,73.51,80.55,31.32,24.47
Rujewa,81,TZ,1570871394,39,-8.7,34.38,81.52,13.47
Sonoita,1,US,1570871394,58,31.68,-110.66,70.0,6.93
Bambous Virieux,75,MU,1570871394,61,-20.34,57.76,80.6,16.11
Avarua,11,CK,1570871395,56,-21.21,-159.78,69.8,8.05
Cururupu,5,BR,1570871395,94,-1.82,-44.87,73.85,3.87
Rio Grande,70,BR,1570871395,90,-32.03,-52.1,68.0,4.0
Karaidel,100,RU,1570871395,88,55.83,56.91,43.09,9.91
Batagay-Alyta,41,RU,1570871396,89,67.8,130.41,14.97,11.35
Kingsland,90,US,1570871396,100,30.8,-81.69,69.8,1.83
Yellowknife,75,CA,1570871396,75,62.45,-114.38,41.0,19.46
Denizli,0,TR,1570871396,43,37.77,29.09,73.4,12.75
Pyaozerskiy,100,RU,1570871397,97,65.83,31.17,39.97,9.14
Nikolskoye,90,RU,1570871397,87,59.7,30.79,51.8,6.71
Isangel,100,VU,1570871397,85,-19.55,169.27,74.48,15.07
Nyurba,99,RU,1570871397,86,63.29,118.35,21.16,7.75
Nanortalik,100,GL,1570871398,85,60.14,-45.24,36.93,17.14
Hervey Bay,75,AU,1570871398,82,-25.3,152.85,66.2,8.05
Baoning,75,CN,1570871398,61,25.34,110.03,82.4,6.71
Qaqortoq,75,GL,1570871399,78,60.72,-46.03,32.0,2.24
Port-Gentil,75,GA,1570871399,94,-0.72,8.78,77.0,4.7
Dapaong,100,TG,1570871399,86,10.86,0.2,73.98,6.68
Tromso,0,NO,1570871400,86,69.65,18.96,33.01,12.75
Albany,40,US,1570871400,81,42.65,-73.75,52.0,3.36
Bobrovka,89,RU,1570871400,80,52.3,45.54,50.7,6.74
Vestmannaeyjar,100,IS,1570871401,80,63.44,-20.27,42.8,5.7
Bathsheba,40,BB,1570871401,74,13.22,-59.52,82.4,10.29
Swan Hill,16,AU,1570871401,35,-35.34,143.56,60.42,6.68
Birao,8,CF,1570871402,64,10.3,22.78,83.86,7.47
Slave Lake,1,CA,1570871402,68,55.28,-114.77,32.0,9.17
Faanui,12,PF,1570871403,75,-16.48,-151.75,75.94,17.6
Pindiga,100,NG,1570871403,78,9.98,10.93,78.3,11.33
Chokurdakh,100,RU,1570871403,96,70.62,147.9,24.67,11.2
Galle,97,GN,1570871404,89,10.08,-12.83,75.42,2.4
Qaanaaq,100,GL,1570871404,80,77.48,-69.36,21.61,10.24
Kaitangata,98,NZ,1570871404,76,-46.28,169.85,46.0,15.01
Tawang,20,BT,1570871404,59,27.59,91.87,53.42,5.47
Jamestown,0,AU,1570871405,30,-33.21,138.6,64.89,7.71
Zarechnyy,100,RU,1570871405,92,60.99,40.4,44.06,10.89
Saskylakh,90,RU,1570871405,86,71.97,114.09,21.78,9.35
Asosa,68,ET,1570871406,79,10.07,34.53,77.2,1.49
Mataura,99,NZ,1570871406,90,-46.19,168.86,44.01,7.0
East London,75,ZA,1570871406,77,-33.02,27.91,68.0,8.05
Sisimiut,100,GL,1570871406,95,66.94,-53.67,27.36,6.0
Tilichiki,100,RU,1570871407,83,60.47,166.1,36.34,20.07
Norman Wells,90,CA,1570871407,97,65.28,-126.83,32.0,12.75
Praia da Vitoria,40,PT,1570871407,63,38.73,-27.07,60.8,24.79
Beringovskiy,0,RU,1570871408,69,63.05,179.32,34.95,7.77
Ilulissat,94,GL,1570871408,80,69.22,-51.1,33.8,11.41
Westport,90,US,1570871408,71,41.14,-73.36,57.2,14.99
Okhotsk,0,RU,1570871409,79,59.36,143.24,23.72,8.32
Bethel,1,US,1570871409,86,60.79,-161.76,33.8,6.93
Tarko-Sale,100,RU,1570871409,92,64.92,77.78,34.0,14.27
Suffolk,1,US,1570871409,93,36.73,-76.58,55.99,4.73
Hilo,40,US,1570871410,83,19.71,-155.08,75.2,5.82
Iztapa,99,GT,1570871410,81,13.93,-90.71,74.08,3.62
Evensk,100,RU,1570871410,99,61.92,159.24,34.66,8.16
Mar del Plata,0,AR,1570871411,44,-46.43,-67.52,46.08,14.9
Islamkot,0,PK,1570871411,22,24.7,70.18,96.1,7.67
Ardakan,0,IR,1570871411,16,32.31,54.02,84.2,4.7
Salalah,20,OM,1570871412,62,17.01,54.1,86.0,10.29
Vallenar,100,CL,1570871412,92,-28.58,-70.76,43.68,0.83
Bat Khela,0,PK,1570871412,35,34.62,71.97,82.96,4.91
Raudeberg,40,NO,1570871412,100,61.99,5.14,45.0,3.36
Saint-Philippe,75,CA,1570871413,81,45.36,-73.48,50.0,9.44
Airai,1,TL,1570871413,63,-8.93,125.41,72.0,4.51
Liwale,0,TZ,1570871413,35,-9.8,37.92,89.8,7.52
Cherskiy,100,RU,1570871413,71,68.75,161.3,26.85,9.23
Harper,90,US,1570871414,34,30.3,-99.24,54.0,4.7
Arraial do Cabo,67,BR,1570871414,87,-22.97,-42.02,72.18,27.37
Barcelona,20,ES,1570871414,88,41.38,2.18,73.0,3.36
Souillac,100,FR,1570871415,72,45.6,-0.6,68.0,16.11
La Rochelle,100,FR,1570871415,88,46.16,-1.15,62.6,12.75
Kahului,1,US,1570871415,61,20.89,-156.47,80.6,11.41
Mount Isa,0,AU,1570871415,10,-20.73,139.49,89.6,8.05
Tiksi,99,RU,1570871416,93,71.64,128.87,18.07,4.57
Sorland,22,NO,1570871416,69,67.67,12.69,42.8,5.82
Calbuco,90,CL,1570871416,93,-41.77,-73.13,44.6,11.41
Christchurch,47,NZ,1570871417,93,-43.53,172.64,48.0,9.17
Kavarna,0,BG,1570871417,56,43.43,28.33,70.0,6.93
Pingshan,25,CN,1570871418,48,28.83,104.35,75.6,4.62
Novopokrovka,6,UA,1570871418,62,49.84,36.56,57.2,13.42
Pasni,0,PK,1570871418,33,25.26,63.48,92.3,9.26
Sitka,0,US,1570871419,62,37.17,-99.65,35.01,11.99
Saint-Francois,81,FR,1570871419,82,46.42,3.91,66.99,3.36
Emilio Carranza,100,MX,1570871419,79,19.97,-96.61,80.22,14.21
Guardiagrele,0,IT,1570871419,82,42.2,14.22,71.01,3.36
Seabra,25,BR,1570871420,93,-12.42,-41.77,57.96,13.01
Ojinaga,90,US,1570871420,28,29.56,-104.41,57.2,13.87
Yichang,93,CN,1570871420,62,30.77,111.32,67.3,4.78
Rae Bareli,27,IN,1570871420,37,26.22,81.25,89.04,3.82
Saint George,40,GR,1570871421,64,39.45,22.34,75.2,6.93
Halifax,90,CA,1570871421,100,44.65,-63.58,53.01,18.34
The Pas,1,CA,1570871421,59,53.82,-101.24,33.8,23.04
Luderitz,0,NA,1570871422,56,-26.65,15.16,69.8,5.82
Waipawa,100,NZ,1570871422,84,-39.94,176.59,52.0,2.18
Carlisle,32,GB,1570871422,86,54.89,-2.94,54.0,3.0
Cravo Norte,100,CO,1570871422,91,6.3,-70.2,73.29,4.88
Samarai,0,PG,1570871423,87,-10.62,150.67,71.73,3.68
Yining,100,CN,1570871423,86,29.04,114.56,65.08,2.34
Tuktoyaktuk,100,CA,1570871423,88,69.44,-133.03,32.25,20.32
Nalut,62,LY,1570871424,72,31.86,10.98,70.57,6.84
Virginia Beach,1,US,1570871424,93,36.85,-75.98,57.2,10.59
Lompoc,1,US,1570871424,39,34.64,-120.46,55.99,6.58
Bathurst,76,AU,1570871424,72,-33.42,149.58,48.99,3.0
Elko,1,US,1570871425,53,40.83,-115.76,33.01,5.82
Guerrero Negro,0,MX,1570871425,58,27.97,-114.04,68.79,7.05
Sur,0,OM,1570871425,42,22.57,59.53,90.0,10.06
Chipiona,0,PE,1570871426,53,-14.54,-75.2,58.66,0.67
Denpasar,20,ID,1570871426,70,-8.65,115.22,86.0,9.17
Bredasdorp,100,ZA,1570871426,58,-34.53,20.04,69.01,6.93
Zharkent,98,KZ,1570871426,33,44.17,80.0,60.76,1.85
Vagur,72,FO,1570871427,71,61.47,-6.81,46.47,12.81
Buala,100,SB,1570871427,77,-8.15,159.59,81.27,5.42
Schrobenhausen,0,DE,1570871427,63,48.56,11.27,64.0,12.75
Barrow,54,AR,1570871428,71,-38.31,-60.23,51.93,9.47
Huambo,75,AO,1570871428,82,-12.78,15.73,68.0,5.82
Opuwo,0,NA,1570871428,38,-18.06,13.84,82.42,14.34
Pangai,3,TO,1570871428,84,-19.8,-174.35,76.68,17.06
Tuatapere,100,NZ,1570871429,90,-46.13,167.69,44.01,7.0
Swellendam,100,ZA,1570871429,58,-34.02,20.44,59.0,6.93
Verkhoyansk,100,RU,1570871429,86,67.55,133.39,21.97,10.62
Bartica,20,GY,1570871430,100,6.41,-58.62,71.6,2.24
Khalkhal,96,IR,1570871430,29,37.62,48.53,67.53,4.96
Camapua,100,BR,1570871430,76,-19.53,-54.04,72.05,2.53
Pevek,100,RU,1570871431,72,69.7,170.27,26.04,19.26
Glenwood Springs,1,US,1570871431,73,39.55,-107.33,23.0,4.6
Lahij,0,YE,1570871431,45,13.06,44.88,91.36,14.25
Daru,0,PG,1570871431,93,-9.07,143.21,73.58,5.39
Outjo,34,NA,1570871432,34,-20.11,16.16,78.8,8.05
Belaya Gora,100,RU,1570871432,95,68.54,146.19,13.98,3.07
Karakol,33,KG,1570871432,78,42.49,78.39,42.19,3.07
Hit,97,IQ,1570871432,15,33.64,42.83,97.75,3.71
Provideniya,37,RU,1570871433,83,64.42,-173.23,25.59,4.11
Coquimbo,100,CL,1570871433,87,-29.95,-71.34,50.0,4.7
Grand Gaube,75,MU,1570871433,61,-20.01,57.66,80.6,16.11
Troitsko-Pechorsk,100,RU,1570871433,89,62.71,56.19,40.21,6.46
Saint-Leu,75,RE,1570871434,54,-21.15,55.28,82.4,8.05
Shetpe,100,KZ,1570871434,23,44.14,52.16,65.79,1.13
Hornepayne,100,CA,1570871434,89,49.22,-84.78,40.35,7.62
Sibolga,100,ID,1570871435,92,1.74,98.78,77.43,2.64
Volgorechensk,87,RU,1570871435,75,57.44,41.16,50.27,15.03
Najran,40,SA,1570871435,24,17.54,44.22,89.6,6.93
Kirakira,88,SB,1570871435,84,-10.46,161.92,78.15,4.55
Husavik,100,CA,1570871436,99,50.56,-96.99,34.0,9.81
Alamogordo,1,US,1570871436,64,32.9,-105.96,46.4,0.92
Vila Franca do Campo,40,PT,1570871436,67,37.72,-25.43,61.0,12.75
Saint-Augustin,75,CA,1570871437,70,45.63,-73.98,50.0,4.7
Khrebtovaya,0,RU,1570871437,55,56.71,104.25,28.44,2.0
Maniitsoq,100,GL,1570871437,97,65.42,-52.9,31.8,8.13
Nioki,57,CD,1570871437,52,-2.72,17.69,88.68,1.94
Sumkino,89,RU,1570871438,70,58.11,68.32,48.94,9.57
Kurilsk,100,RU,1570871438,78,45.23,147.88,47.97,12.56
San Patricio,0,PY,1570871438,55,-26.98,-56.83,80.06,9.93
Port Keats,63,AU,1570871439,60,-14.25,129.55,83.26,13.75
Kavaratti,100,IN,1570871439,81,10.57,72.64,79.29,5.98
Porto Murtinho,0,BR,1570871439,74,-21.7,-57.88,76.15,7.85
Irbeyskoye,0,RU,1570871439,43,55.64,95.45,42.48,5.13
Lorsch,0,DE,1570871440,63,49.65,8.57,66.99,9.17
Constitucion,100,MX,1570871440,84,23.99,-104.67,60.01,1.99
Ucluelet,100,CA,1570871440,91,48.94,-125.55,51.01,3.83
Lebu,75,ET,1570871441,52,8.96,38.73,68.0,11.41
Port Lincoln,62,AU,1570871441,64,-34.72,135.86,60.04,5.74
Lock Haven,40,US,1570871441,87,41.14,-77.45,48.0,2.13
Namatanai,100,PG,1570871441,65,-3.66,152.44,85.37,3.82
Wajir,77,KE,1570871442,49,1.75,40.07,87.85,12.48
Bubaque,78,GW,1570871442,80,11.28,-15.83,82.65,14.12
Belmonte,71,PT,1570871442,84,40.36,-7.35,64.99,7.1
Grahamstown,62,ZA,1570871442,72,-33.31,26.53,70.0,5.99
Glushkovo,100,RU,1570871443,61,51.34,34.64,55.76,18.83
Richards Bay,53,ZA,1570871443,72,-28.77,32.06,72.43,18.65
Tezu,23,IN,1570871443,65,27.93,96.16,81.5,4.01
Wanning,20,AT,1570871444,100,48.64,13.53,60.01,2.24
Georgetown,20,GY,1570871444,100,6.8,-58.16,71.6,2.24
Puerto Cabezas,80,NI,1570871444,99,14.04,-83.39,71.02,3.8
Mecca,0,SA,1570871445,11,21.43,39.83,101.05,11.11
Dukat,0,AL,1570871445,63,40.25,19.57,79.0,3.0
Hlinsko,0,CZ,1570871445,59,49.76,15.91,69.01,8.05
Lagoa,40,PT,1570871445,94,37.14,-8.45,69.8,5.82
Nishihara,90,JP,1570871446,100,35.74,139.53,78.8,14.99
Yumen,83,CN,1570871446,18,40.29,97.04,68.0,8.8
Yarmouth,90,CA,1570871446,93,43.84,-66.12,55.0,21.92
Klaksvik,54,FO,1570871446,81,62.23,-6.59,44.6,6.93
Kropachevo,100,RU,1570871447,58,55.01,57.99,49.96,13.0
Lubango,99,AO,1570871447,55,-14.92,13.49,71.53,13.39
Fortuna,1,US,1570871447,93,40.6,-124.16,46.4,8.05
Abalak,52,NE,1570871448,39,15.46,6.28,89.02,11.34
Saldanha,38,PT,1570871448,56,41.42,-6.55,68.14,13.51
Acapulco,75,MX,1570871448,94,16.86,-99.88,77.0,3.21
Upernavik,100,GL,1570871449,76,72.79,-56.15,29.03,12.23
Mehamn,93,NO,1570871449,90,71.03,27.85,34.92,5.57
Ofaqim,0,IL,1570871449,56,31.31,34.62,86.0,1.01
Rafsanjan,0,IR,1570871449,12,30.4,55.99,78.28,6.95
Shar,100,NG,1570871450,82,7.3,8.73,80.13,2.64
Owerri,75,NG,1570871450,100,5.49,7.03,78.8,1.13
Zhigansk,0,RU,1570871450,85,66.77,123.37,23.59,25.79
Fairbanks,90,US,1570871450,74,64.84,-147.72,33.8,5.82
Abu Kamal,0,SY,1570871451,16,34.45,40.92,92.39,5.83
Gohpur,40,IN,1570871451,66,26.89,93.63,87.8,5.82
Chuy,100,UY,1570871451,92,-33.69,-53.46,61.43,8.46
Dingle,100,PH,1570871452,87,11.0,122.67,79.09,2.96
Ingham,0,AU,1570871452,78,-18.65,146.16,70.86,2.44
Kampot,40,KH,1570871452,66,10.62,104.18,87.8,6.93
Tierranueva,100,MX,1570871452,94,21.68,-100.57,56.91,7.23
Road Town,1,VG,1570871453,62,18.42,-64.62,84.2,4.7
Kolosovka,67,RU,1570871453,60,56.47,73.61,49.95,8.2
Tshikapa,40,CD,1570871453,52,-6.42,20.79,87.49,3.96
Pangnirtung,100,CA,1570871454,95,66.15,-65.72,27.54,11.64
Itanagar,40,IN,1570871454,66,27.1,93.63,87.8,5.82
Caravelas,92,BR,1570871454,85,-17.73,-39.27,72.27,3.96
Nizwa,7,OM,1570871454,26,22.93,57.53,86.68,9.4
Victoria,75,BN,1570871455,74,5.28,115.24,87.8,4.7
Cochrane,3,CL,1570871455,95,-47.25,-72.57,25.16,6.21
Langholm,32,GB,1570871455,100,55.15,-3.0,54.0,8.05
Scarborough,100,GB,1570871455,87,54.28,-0.41,53.01,9.17
Vila,27,IT,1570871456,82,45.18,8.4,64.0,2.24
Henties Bay,0,NA,1570871456,87,-22.12,14.28,63.0,5.99
Keningau,75,MY,1570871456,70,5.33,116.16,87.8,3.36
Hambantota,40,LK,1570871457,79,6.12,81.12,87.8,8.05
Port Blair,20,IN,1570871457,62,11.67,92.75,89.6,5.82
Santa Isabel do Rio Negro,100,BR,1570871457,98,-0.41,-65.02,71.71,1.52
Borisoglebskiy,94,RU,1570871457,77,57.26,39.15,50.13,13.64
Veraval,20,FR,1570871458,87,49.65,0.71,63.0,11.41
Khorramabad,59,IR,1570871458,12,33.48,48.35,86.0,9.17
Great Yarmouth,20,GB,1570871458,93,52.61,1.73,54.0,5.82
Berdigestyakh,100,RU,1570871459,91,62.1,126.7,19.26,9.83
Khandyga,100,RU,1570871459,94,62.65,135.58,17.82,5.86
Moose Factory,75,CA,1570871459,58,51.26,-80.61,53.6,11.41
Aksarka,100,RU,1570871459,96,66.56,67.8,34.3,9.44
Camocim,0,BR,1570871460,84,-2.9,-40.84,72.19,5.8
Howard Springs,39,AU,1570871460,62,-12.5,131.05,90.0,10.29
Fort Nelson,75,CA,1570871460,100,58.81,-122.69,26.6,5.82
Arman,100,RU,1570871461,67,59.7,150.17,37.87,9.91
Ahipara,0,NZ,1570871461,99,-35.17,173.16,55.0,13.14
Cabo San Lucas,100,MX,1570871461,86,22.89,-109.91,80.01,2.27
Byron Bay,75,AU,1570871462,82,-28.65,153.62,60.8,6.93
Manzhouli,0,CN,1570871462,31,49.6,117.43,30.11,9.51
Mayumba,96,GA,1570871462,87,-3.44,10.65,77.34,7.35
Gorom-Gorom,50,BF,1570871463,54,14.45,-0.24,84.76,13.75
Sao Joao da Barra,100,BR,1570871463,83,-21.64,-41.05,72.82,16.13
Zhangye,0,CN,1570871464,20,38.94,100.46,66.52,4.87
Kamloops,75,CA,1570871464,69,50.68,-120.34,39.2,12.75
Paamiut,100,GL,1570871464,81,61.99,-49.67,35.33,11.0
Mogadishu,40,SO,1570871465,66,2.04,45.34,86.0,10.29
Sundsvall,96,SE,1570871465,75,62.39,17.31,43.0,2.24
Pandaria,0,IN,1570871465,42,22.22,81.41,89.4,4.53
General Roca,100,AR,1570871466,51,-39.03,-67.58,59.0,15.71
Touros,75,BR,1570871466,94,-5.2,-35.46,71.6,5.82
Gorontalo,100,ID,1570871466,85,0.54,123.06,79.99,3.33
Tautira,40,PF,1570871467,53,-17.73,-149.15,75.2,5.82
Dimona,0,IL,1570871467,56,31.07,35.04,84.0,4.0
Buin,100,CL,1570871468,87,-33.73,-70.74,51.8,9.17
Aykhal,73,RU,1570871468,55,65.95,111.51,11.39,2.7
Notse,100,TG,1570871468,88,6.95,1.17,77.38,5.25
Baijiantan,100,CN,1570871469,30,45.63,85.18,70.7,4.41
Tetela de Ocampo,100,MX,1570871469,99,19.82,-97.8,56.07,5.01
Basco,1,US,1570871469,66,40.33,-91.2,35.01,5.82
Kiama,90,AU,1570871470,71,-34.67,150.86,57.99,3.36
Laguna,40,BZ,1570871470,94,16.17,-88.94,75.2,2.09
Chumikan,84,RU,1570871470,45,54.72,135.31,28.53,22.12
Adelaide,36,AU,1570871471,52,-34.93,138.6,70.0,4.7
Bay Roberts,75,CA,1570871471,93,47.58,-53.28,42.01,8.05
Hamilton,90,CA,1570871471,93,43.26,-79.87,57.99,9.17
Mabaruma,33,GY,1570871472,99,8.2,-59.78,71.65,2.26
Karlskrona,75,SE,1570871472,93,56.16,15.59,55.4,9.17
Aksu,0,KZ,1570871473,26,52.04,76.93,67.19,6.25
Egvekinot,21,RU,1570871473,78,66.32,-179.17,15.78,3.61
Nizhniy Odes,94,RU,1570871473,75,63.64,54.86,39.99,5.01
Belyy Yar,23,RU,1570871474,43,53.6,91.39,46.09,2.41
Singaparna,100,ID,1570871474,66,-7.35,108.11,78.15,6.77
Karratha,20,AU,1570871474,64,-20.74,116.85,81.59,15.07
Wewak,74,PG,1570871475,81,-3.55,143.63,79.43,5.99
Cidreira,0,BR,1570871475,78,-30.17,-50.22,71.49,11.62
Alofi,74,NU,1570871476,78,-19.06,-169.92,73.4,6.93
Shangzhi,0,CN,1570871476,47,45.21,127.96,41.32,6.24
Srivardhan,27,IN,1570871477,73,18.03,73.02,84.58,7.91
Margate,20,AU,1570871477,57,-43.03,147.26,50.0,9.17
Turukhansk,100,RU,1570871477,51,65.8,87.96,33.82,12.41
Brunsbuttel,90,DE,1570871477,100,53.9,9.15,54.0,9.17
Pizarro,100,CO,1570871478,80,4.95,-77.37,78.49,3.25
Trairi,1,BR,1570871478,76,-3.28,-39.27,72.59,7.73
Nevel,100,RU,1570871478,87,56.02,29.92,50.76,17.7
Xiongyue,98,CN,1570871479,35,40.18,122.12,59.07,15.44
Khatanga,100,RU,1570871479,80,71.98,102.47,27.59,8.96
Almaznyy,0,RU,1570871480,56,48.03,40.04,58.66,10.9
Padang,99,ID,1570871480,90,-0.92,100.36,74.62,2.84
Krutinka,11,RU,1570871480,52,56.01,71.51,50.45,11.02
Farafangana,21,MG,1570871481,82,-22.82,47.83,75.61,19.33
Ulaanbaatar,20,MN,1570871481,24,47.92,106.92,33.8,13.42
Makinsk,99,KZ,1570871481,57,52.63,70.42,52.7,4.95
Chaplygin,57,RU,1570871482,70,53.24,39.97,54.09,11.88
Longyearbyen,40,NO,1570871482,73,78.22,15.63,24.8,3.36
Gilgit,0,PK,1570871482,25,35.92,74.31,49.57,1.69
Thinadhoo,100,MV,1570871483,88,0.53,72.93,78.53,16.52
Baruun-Urt,0,MN,1570871483,22,46.68,113.28,31.93,5.78
Diego de Almagro,0,CL,1570871483,73,-26.39,-70.05,47.8,1.89
Jacmel,100,HT,1570871484,83,18.24,-72.54,75.2,5.82
Finschhafen,91,PG,1570871484,82,-6.6,147.85,80.38,10.59
Faya,75,SA,1570871484,23,18.39,42.45,78.8,6.93
Campina Verde,43,BR,1570871485,77,-19.54,-49.49,71.6,2.47
Conde,9,BR,1570871485,77,-11.81,-37.61,78.42,18.04
Cap Malheureux,75,MU,1570871486,61,-19.98,57.61,80.6,16.11
Codrington,90,AU,1570871486,82,-28.95,153.24,60.8,8.05
Neepawa,100,CA,1570871486,91,50.23,-99.46,33.08,29.15
Polovinnoye,66,RU,1570871486,68,54.79,65.99,49.66,12.73
Tasiilaq,44,GL,1570871487,86,65.61,-37.64,30.2,1.12
Yulara,12,AU,1570871487,6,-25.24,130.99,102.2,13.87
Cortez,1,US,1570871487,44,37.35,-108.58,24.01,5.82
Okoneshnikovo,100,RU,1570871488,68,54.84,75.08,52.2,6.4
Matara,100,BI,1570871488,71,-3.48,29.48,68.79,8.03
Gouyave,42,GD,1570871488,78,12.16,-61.73,82.49,14.22
Mandalgovi,18,MN,1570871489,46,45.76,106.27,31.19,4.17
Roald,75,NO,1570871490,93,62.58,6.12,45.0,2.24
Jacksonville,20,US,1570871490,83,30.33,-81.66,69.8,4.37
Mokhsogollokh,99,RU,1570871491,86,61.4,128.95,19.2,7.5
Soyo,40,AO,1570871491,88,-6.13,12.37,78.8,5.82
Perene,0,PE,1570871491,94,-10.95,-75.23,60.44,2.74
Boke,100,GN,1570871492,88,10.95,-14.28,78.19,4.57
Iralaya,100,HN,1570871492,70,15.0,-83.23,83.48,8.34
Seddon,2,AU,1570871492,51,-37.81,144.89,63.0,12.75
Vostok,0,RU,1570871493,50,46.45,135.83,27.5,2.72
Javanrud,40,IR,1570871493,14,34.8,46.49,80.6,6.83
Conceicao do Araguaia,16,BR,1570871493,77,-8.26,-49.26,73.94,1.48
Yeppoon,0,AU,1570871494,60,-23.13,150.74,73.4,5.82
Narsaq,75,GL,1570871494,63,60.91,-46.05,32.0,2.24
Japura,88,ID,1570871494,54,-0.42,102.29,89.8,3.52
