City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Verkhoyansk,34,RU,1570607369,71,67.55,133.39,14.27,5.93
Lorengau,47,PG,1570607370,78,-2.02,147.27,80.87,5.3
Nikolskoye,90,RU,1570607370,86,59.7,30.79,43.0,8.95
Yeppoon,0,AU,1570607370,54,-23.13,150.74,78.8,10.29
Ahipara,100,NZ,1570607370,98,-35.17,173.16,63.0,11.56
Florence,90,US,1570607371,82,34.2,-79.77,64.4,6.93
Georgetown,20,GY,1570607371,100,6.8,-58.16,75.2,4.7
Avarua,100,CK,1570607371,64,-21.21,-159.78,71.6,12.75
Fortuna,33,ES,1570607372,93,38.18,-1.13,72.0,4.7
Plymouth,40,GB,1570607147,81,50.37,-4.14,54.0,19.46
Nanortalik,100,GL,1570607372,78,60.14,-45.24,40.91,7.04
San Patricio,0,PY,1570607372,81,-26.98,-56.83,60.35,4.36
Ponta Delgada,20,PT,1570607373,63,37.73,-25.67,71.01,6.93
Manyana,0,AU,1570607373,51,-35.26,150.51,60.01,14.99
Yellowknife,75,CA,1570607373,92,62.45,-114.38,30.99,11.41
Cockburn Town,93,TC,1570607374,78,21.46,-71.14,82.67,16.8
Kapaa,40,US,1570607374,94,22.08,-159.32,78.8,5.82
Tabuk,52,PH,1570607375,80,17.41,121.44,70.43,4.16
Thompson,75,CA,1570607104,69,55.74,-97.86,35.6,6.93
Qaanaaq,82,GL,1570607375,62,77.48,-69.36,19.49,11.53
Carballo,20,ES,1570607375,100,43.21,-8.69,57.99,5.82
Tasiilaq,100,GL,1570607376,75,65.61,-37.64,41.0,4.7
Juneau,75,US,1570607123,64,58.3,-134.42,39.2,10.29
Deer Lake,5,CA,1570607376,87,49.18,-57.43,44.6,6.93
Ponta do Sol,100,BR,1570607376,93,-20.63,-46.0,65.25,4.51
Gamba,0,CN,1570607377,24,28.28,88.52,45.95,12.64
Maloy,64,ID,1570607377,72,1.0,118.1,83.39,3.76
Fare,100,PF,1570607377,83,-16.7,-151.02,75.11,22.93
Aberdeen,1,US,1570607377,100,46.98,-123.82,44.01,3.36
Lagoa,0,PT,1570607378,77,37.14,-8.45,66.2,8.05
Ibra,0,OM,1570607378,22,22.69,58.55,89.15,5.95
Sao Filipe,86,CV,1570607378,81,14.9,-24.5,77.63,13.29
Souillac,46,FR,1570607379,100,45.6,-0.6,55.4,4.7
Lebu,40,ET,1570607379,59,8.96,38.73,66.2,16.11
Kudahuvadhoo,0,MV,1570607379,70,2.67,72.89,82.35,5.63
Uyemskiy,90,RU,1570607380,100,64.47,40.85,33.8,13.42
Puerto Ayora,23,EC,1570607380,95,-0.74,-90.35,64.0,1.99
Moree,0,AU,1570607381,14,-29.46,149.84,75.2,17.22
Nioro,100,GM,1570607382,95,13.79,-15.05,74.75,1.92
Kodinsk,74,RU,1570607382,46,58.6,99.18,31.73,9.14
Piracuruca,23,BR,1570607383,66,-3.93,-41.72,72.59,3.14
Port Lincoln,0,AU,1570607383,69,-34.72,135.86,54.77,14.67
Cabo San Lucas,29,MX,1570607384,67,22.89,-109.91,80.01,7.78
Dikson,7,RU,1570607384,87,73.51,80.55,24.53,19.95
Saint-Philippe,1,CA,1570607384,93,45.36,-73.48,44.01,3.36
Pangnirtung,100,CA,1570607385,74,66.15,-65.72,27.41,1.95
Staryy Nadym,100,RU,1570607385,81,65.61,72.68,39.11,17.16
Manaure,87,CO,1570607386,79,11.78,-72.45,83.21,11.73
Douentza,78,ML,1570607386,29,15.01,-2.95,86.63,5.26
Palmital,100,BR,1570607386,81,-22.79,-50.22,63.95,5.55
Martapura,20,ID,1570607387,39,-3.41,114.85,98.6,4.7
Didi Lilo,75,GE,1570607387,56,41.74,44.97,69.8,27.51
Beyneu,100,KZ,1570607387,23,45.32,55.19,75.83,11.95
Longyearbyen,75,NO,1570607388,81,78.22,15.63,32.0,5.82
Khatanga,98,RU,1570607388,92,71.98,102.47,19.13,5.7
High Rock,100,BS,1570607388,80,26.63,-78.28,81.59,5.14
Shelburne,5,CA,1570607105,93,44.08,-80.2,46.99,7.61
Mayo,90,CA,1570607389,85,63.59,-135.9,19.4,2.24
Denizli,75,TR,1570607389,100,37.77,29.09,55.4,3.36
Lazaro Cardenas,14,MX,1570607389,61,28.39,-105.62,69.71,5.82
Chuy,0,UY,1570607390,70,-33.69,-53.46,52.61,5.44
Ankazoabo,6,MG,1570607390,21,-22.29,44.51,91.67,5.1
Pisco,90,PE,1570607390,82,-13.71,-76.2,60.8,2.24
Severo-Kurilsk,100,RU,1570607391,98,50.68,156.12,46.71,11.95
Bethel,20,US,1570607391,93,60.79,-161.76,41.0,10.29
Kirakira,100,SB,1570607391,85,-10.46,161.92,77.81,3.84
Norman Wells,40,CA,1570607391,79,65.28,-126.83,23.0,4.7
Torbay,20,CA,1570607392,93,47.66,-52.73,48.0,19.46
Tiksi,99,RU,1570607392,84,71.64,128.87,23.63,8.21
Sept-Iles,5,CA,1570607392,93,50.2,-66.38,41.0,8.05
Rocha,33,UY,1570607393,67,-34.48,-54.34,50.63,4.2
Yar-Sale,100,RU,1570607393,91,66.83,70.83,36.95,12.33
Barguzin,100,RU,1570607393,70,53.62,109.63,23.27,11.68
Kendari,15,ID,1570607393,68,-3.99,122.52,81.59,4.65
Tibati,100,CM,1570607394,84,6.47,12.63,72.77,1.03
Natchitoches,1,US,1570607394,100,31.76,-93.09,59.0,3.29
Mersing,68,MY,1570607394,81,2.43,103.84,83.21,3.62
Hualmay,38,PE,1570607395,85,-11.1,-77.61,54.99,3.0
Aksu,0,KZ,1570607395,26,52.04,76.93,69.8,4.47
Axim,97,GH,1570607395,83,4.87,-2.24,79.25,8.2
Honningsvag,75,NO,1570607395,80,70.98,25.97,39.2,14.99
Barwala,0,IN,1570607396,21,29.37,75.91,93.47,3.6
Sauda,75,NO,1570607396,93,59.65,6.35,46.4,11.41
Sisimiut,0,GL,1570607397,45,66.94,-53.67,36.23,2.51
Suntar,100,RU,1570607398,88,62.16,117.65,22.91,8.95
Ayr,0,AU,1570607398,74,-19.58,147.4,78.01,4.95
Hithadhoo,13,MV,1570607399,72,-0.6,73.08,82.71,6.47
Vanderhoof,0,CA,1570607399,52,54.02,-124.02,25.29,2.91
Malatya,0,TR,1570607399,40,38.35,38.32,71.6,3.36
Kenai,90,US,1570607400,87,60.55,-151.26,44.6,3.36
Bosaso,0,SO,1570607133,77,11.28,49.18,82.85,18.14
Port Alfred,90,ZA,1570607401,84,-33.59,26.89,64.0,5.99
Sungaipenuh,100,ID,1570607401,79,-2.08,101.38,79.97,3.87
Pedasi,21,PA,1570607402,93,7.53,-80.03,72.41,3.49
Aklavik,75,CA,1570607402,69,68.22,-135.01,33.8,3.36
Tamiahua,100,MX,1570607403,87,21.28,-97.45,76.05,11.46
Oranjemund,93,ZA,1570607403,62,-28.55,16.43,62.69,28.62
Galesong,20,ID,1570607404,43,-5.32,119.37,91.4,12.75
Huarmey,67,PE,1570607404,91,-10.07,-78.15,59.27,10.96
Torva,97,EE,1570607404,86,58.0,25.93,42.01,4.7
San Quintin,8,PH,1570607405,81,17.54,120.52,81.23,3.87
Kahului,20,US,1570607405,65,20.89,-156.47,77.0,6.93
Esperance,100,AU,1570607405,22,-33.86,121.89,86.0,12.75
Luganville,75,VU,1570607406,78,-15.51,167.18,80.6,6.93
Mweka,100,CD,1570607406,61,-4.85,21.56,84.47,4.22
Carnarvon,0,ZA,1570607406,24,-30.97,22.13,67.73,11.63
Kincardine,0,CA,1570607407,89,44.18,-81.63,48.0,14.94
Kaspiysk,40,RU,1570607327,63,42.88,47.64,66.0,22.37
Provideniya,100,RU,1570607407,95,64.42,-173.23,32.99,3.98
College,90,US,1570607408,99,64.86,-147.8,37.4,6.93
Vanavara,100,RU,1570607408,61,60.35,102.28,25.43,12.02
Bredasdorp,75,ZA,1570607399,51,-34.53,20.04,59.0,17.22
Lompoc,90,US,1570607408,100,34.64,-120.46,60.8,6.93
Beruwala,57,LK,1570607409,71,6.48,79.98,83.39,10.42
Carutapera,91,BR,1570607409,73,-1.2,-46.02,80.69,20.96
Mugur-Aksy,0,RU,1570607409,51,50.38,90.44,38.75,6.6
Terenos,100,BR,1570607410,77,-20.44,-54.87,69.8,8.05
South Venice,1,US,1570607410,100,27.05,-82.42,77.0,6.93
Marsh Harbour,61,BS,1570607410,78,26.54,-77.06,81.77,12.24
Zhangjiakou,73,CN,1570607410,44,40.77,114.88,56.57,5.14
Ribeira Grande,40,PT,1570607411,63,38.52,-28.7,64.4,6.93
Miri,44,NG,1570607411,60,10.31,9.75,83.93,2.39
Hudiksvall,86,SE,1570607411,98,61.73,17.1,35.01,3.27
Kysucke Nove Mesto,90,SK,1570607412,93,49.3,18.78,52.0,3.36
Hambantota,75,LK,1570607412,74,6.12,81.12,87.8,3.36
Nizhnyaya Tura,100,RU,1570607412,76,58.62,59.87,42.71,2.27
Saint-Georges,0,CA,1570607412,96,46.12,-70.67,36.0,4.5
Ashqelon,20,IL,1570607413,61,31.67,34.57,84.99,6.93
Altamira,81,BR,1570607413,98,-3.2,-52.21,72.59,2.38
Constitucion,51,MX,1570607413,65,23.99,-104.67,60.01,5.01
Corrales,72,CO,1570607414,92,5.83,-72.84,43.43,3.4
Sorong,100,ID,1570607414,97,-0.86,131.25,76.19,1.35
Haines Junction,100,CA,1570607414,82,60.75,-137.51,16.43,4.0
Lasa,0,CY,1570607415,57,34.92,32.53,80.6,4.7
Cabedelo,20,BR,1570607415,83,-6.97,-34.84,75.2,6.93
Namatanai,19,PG,1570607415,83,-3.66,152.44,79.79,8.1
Wana,0,PK,1570607416,33,32.31,69.59,62.37,8.45
Broken Hill,4,AU,1570607416,22,-31.97,141.45,66.2,14.99
Mahebourg,75,MU,1570607416,50,-20.41,57.7,78.8,20.8
Lithakia,20,GR,1570607416,69,37.72,20.83,73.99,11.41
Pochutla,41,MX,1570607417,90,15.74,-96.47,77.0,6.64
Srednekolymsk,0,RU,1570607417,82,67.46,153.71,10.49,3.23
Leningradskiy,100,RU,1570607417,91,69.38,178.42,30.47,21.16
Mountain Home,90,US,1570607418,70,43.13,-115.69,46.4,18.34
Victoria,75,BN,1570607418,70,5.28,115.24,89.6,6.93
Christchurch,100,NZ,1570607418,42,-43.53,172.64,66.99,11.41
Sigli,84,ID,1570607419,83,5.38,95.96,79.97,1.52
Santa Cruz de la Palma,75,ES,1570607419,64,28.68,-17.76,71.6,12.75
Westport,20,US,1570607325,67,41.14,-73.36,60.01,14.99
Sambava,55,MG,1570607419,49,-14.27,50.17,83.93,6.53
Vardo,90,US,1570607420,93,39.62,-77.74,55.99,5.82
Kijang,0,KR,1570607325,40,35.24,129.21,69.8,6.93
Nyurba,100,RU,1570607421,91,63.29,118.35,26.91,7.31
Klaksvik,100,FO,1570607421,87,62.23,-6.59,50.0,6.93
Tilichiki,0,RU,1570607422,83,60.47,166.1,24.53,6.02
Chumphon,20,TH,1570607423,63,10.5,99.18,91.4,8.05
Ulladulla,0,AU,1570607423,51,-35.36,150.48,59.0,14.99
Camacha,75,PT,1570607423,88,33.08,-16.33,69.8,13.87
Warrnambool,100,AU,1570607424,71,-38.38,142.48,55.0,3.0
Thunder Bay,5,CA,1570607407,66,48.41,-89.26,55.4,5.35
Cairns,42,AU,1570607226,69,-16.92,145.77,82.0,6.93
Nishihara,20,JP,1570607425,64,35.74,139.53,77.0,14.99
Bosanski Novi,14,BA,1570607425,57,45.05,16.38,60.89,3.85
Ushtobe,30,KZ,1570607425,23,45.25,77.98,75.11,7.74
Miyako,20,JP,1570607426,53,33.63,130.94,75.2,11.41
Peniche,0,PT,1570607426,72,39.36,-9.38,61.0,13.87
Tshikapa,100,CD,1570607426,66,-6.42,20.79,81.59,5.17
Broome,100,GB,1570607427,87,52.47,1.45,51.01,5.82
Upata,99,VE,1570607427,97,8.02,-62.41,70.25,4.2
Mehran,0,IR,1570607427,25,33.12,46.17,84.2,11.41
Tara,20,JP,1570607428,44,33.0,130.15,78.8,8.05
Hilton Head Island,90,US,1570607428,77,32.16,-80.75,71.01,13.87
Talara,76,PE,1570607428,89,-4.58,-81.27,62.71,15.15
Piacabucu,35,BR,1570607429,80,-10.41,-36.43,75.65,11.1
Lavrentiya,100,RU,1570607429,98,65.58,-170.99,33.17,4.56
Nome,40,US,1570607430,88,30.04,-94.42,68.0,4.45
Nantucket,90,US,1570607430,87,41.28,-70.1,57.99,23.04
Alexandria,0,RO,1570607430,53,43.97,25.33,62.01,3.0
Vieste,5,IT,1570607430,93,41.88,16.18,64.99,3.36
Shonguy,75,RU,1570607431,93,68.75,33.15,37.4,6.71
Ouahigouya,72,BF,1570607431,57,13.58,-2.42,84.69,12.69
Nefteyugansk,0,RU,1570607410,66,61.09,72.61,50.0,11.18
Mecca,51,SA,1570607432,15,21.43,39.83,99.59,14.16
Capitan Bado,0,PY,1570607432,73,-23.27,-55.53,64.17,3.86
Cidreira,0,BR,1570607432,84,-30.17,-50.22,65.39,5.14
Shenjiamen,36,CN,1570607433,62,29.96,122.3,70.07,9.06
Faya,40,SA,1570607433,35,18.39,42.45,75.2,14.99
Bouca,100,CF,1570607433,97,6.51,18.28,71.33,1.68
San Ramon de la Nueva Oran,0,AR,1570607434,60,-23.13,-64.33,61.61,1.74
Shirokiy,57,RU,1570607434,63,53.87,39.17,39.99,4.0
Ambrolauri,90,GE,1570607434,100,42.52,43.15,62.6,9.17
Flin Flon,28,CA,1570607435,70,54.77,-101.88,27.77,6.63
Bonthe,87,SL,1570607435,83,7.53,-12.5,79.43,7.23
Ostrovnoy,100,RU,1570607435,98,68.05,39.51,34.25,9.55
Vila Franca do Campo,20,PT,1570607435,63,37.72,-25.43,71.01,6.93
Tomatlan,100,MX,1570607436,96,19.93,-105.25,70.11,3.49
Auki,95,NG,1570607436,75,12.18,6.51,78.89,8.96
Alizai,5,PK,1570607436,39,33.94,71.55,84.2,4.7
La Ronge,75,CA,1570607437,86,55.1,-105.3,26.6,9.17
Inhambane,75,MZ,1570607437,78,-23.87,35.38,78.8,11.41
Maningrida,100,AU,1570607437,74,-12.05,134.23,79.07,10.35
Pandan,100,PH,1570607438,78,11.72,122.09,82.85,11.69
Avera,90,US,1570607438,93,33.19,-82.53,69.8,5.82
Nakamura,20,JP,1570607438,33,35.17,136.87,75.2,6.93
Kolondieba,95,ML,1570607438,80,11.09,-6.89,76.73,8.84
Montrose,20,GB,1570607439,93,56.71,-2.47,50.0,11.41
Cumberland,1,US,1570607439,93,41.97,-71.43,59.0,10.29
Coihaique,75,CL,1570607439,70,-45.58,-72.07,42.8,3.36
Deputatskiy,100,RU,1570607440,99,69.3,139.9,-1.22,2.62
Princeton,1,US,1570607441,93,38.36,-87.57,52.0,4.64
Finnsnes,75,NO,1570607441,86,69.23,17.98,32.0,8.05
Donskoye,90,RU,1570607441,100,45.45,41.98,42.8,4.47
Palafrugell,32,ES,1570607442,59,41.92,3.16,70.0,0.56
Narsaq,75,GL,1570607442,79,60.91,-46.05,37.4,2.79
Nabire,100,ID,1570607443,95,-3.36,135.5,74.61,1.19
Touros,40,BR,1570607443,88,-5.2,-35.46,73.4,3.36
Betsiamites,1,CA,1570607443,100,48.94,-68.65,37.4,3.36
Abu Samrah,0,SY,1570607444,24,35.3,37.18,87.17,2.41
Scarborough,75,GB,1570607444,87,54.28,-0.41,52.0,11.41
Tautira,75,PF,1570607445,69,-17.73,-149.15,77.0,5.82
Xingyi,57,CN,1570607445,69,24.19,102.82,71.01,6.21
Richards Bay,0,ZA,1570607445,82,-28.77,32.06,70.79,16.89
Saskylakh,100,RU,1570607446,96,71.97,114.09,21.31,9.8
Rio Gallegos,20,AR,1570607446,65,-51.62,-69.22,41.0,24.16
Kizhinga,83,RU,1570607446,43,51.85,109.91,32.99,17.17
Sorland,20,NO,1570607447,59,67.67,12.69,42.8,23.04
Padang,90,ID,1570607447,93,-0.92,100.36,74.03,3.08
Presidente Olegario,74,BR,1570607447,100,-18.42,-46.42,66.0,3.65
Puerto Plata,75,DO,1570607272,100,19.79,-70.69,79.0,5.82
Port Elizabeth,90,US,1570607448,72,39.31,-74.98,63.0,10.29
Champerico,93,MX,1570607448,98,16.38,-93.6,67.73,3.0
Tecpan,90,GT,1570607448,93,14.76,-90.99,64.4,3.14
Port Hawkesbury,1,CA,1570607449,100,45.62,-61.36,50.0,3.36
Vestmannaeyjar,20,IS,1570607449,76,63.44,-20.27,44.6,5.82
Sobolevo,100,RU,1570607449,90,54.43,31.9,40.91,17.1
San Martin,20,US,1570607449,71,37.08,-121.61,73.4,1.22
Sitka,31,US,1570607450,63,37.17,-99.65,63.0,18.01
Jackville,75,CI,1570607450,88,5.21,-4.42,78.8,9.17
Shimoda,20,JP,1570607450,60,34.7,138.93,75.2,10.29
Saint-Augustin,5,CA,1570607451,100,45.63,-73.98,44.01,2.24
Chokurdakh,15,RU,1570607451,97,70.62,147.9,6.89,2.53
Oropesa,0,PE,1570607452,52,-13.59,-71.76,41.0,2.01
Dwarka,40,IN,1570607452,38,28.58,77.04,89.6,4.7
Yining,2,CN,1570607452,51,29.04,114.56,83.57,2.64
Kupino,17,RU,1570607452,44,54.36,77.31,63.59,5.36
Pacific Grove,1,US,1570607453,77,36.62,-121.92,60.01,5.82
Umm Lajj,2,SA,1570607453,13,25.02,37.27,107.87,15.1
Bilma,36,NE,1570607453,31,18.69,12.92,93.11,13.04
Homa Bay,86,KE,1570607454,57,-0.53,34.45,76.73,7.18
Brae,20,GB,1570607454,87,60.4,-1.35,51.8,18.34
Poum,75,MK,1570607454,87,41.28,20.71,55.4,3.36
Dzhebariki-Khaya,100,RU,1570607454,93,62.22,135.8,32.49,5.94
Bonfim,100,GY,1570607455,87,3.36,-59.84,75.83,8.43
Anloga,20,GH,1570607455,88,5.79,0.9,78.8,10.29
Buraydah,0,SA,1570607455,38,26.33,43.97,91.4,9.17
Tongchuan,90,CN,1570607456,100,34.9,108.95,55.4,2.24
Bambous Virieux,75,MU,1570607456,50,-20.34,57.76,78.8,20.8
Umea,87,SE,1570607456,92,63.83,20.26,30.2,2.24
Zhigansk,14,RU,1570607457,87,66.77,123.37,17.51,14.43
Horni Plana,75,CZ,1570607457,93,48.77,14.03,62.01,4.7
Houma,100,CN,1570607457,95,35.63,111.36,51.35,0.57
Samarai,28,PG,1570607457,92,-10.62,150.67,73.31,4.92
San Borja,0,BO,1570607458,83,-14.86,-66.75,68.45,2.23
Bugiri,42,UG,1570607458,55,0.57,33.75,79.97,5.21
Rawson,0,AR,1570607458,50,-43.3,-65.11,47.03,14.45
Ateptsevo,96,RU,1570607459,80,55.32,36.75,45.0,8.95
Miranda,0,BR,1570607459,76,-20.24,-56.38,67.91,3.49
Ishigaki,40,JP,1570607459,69,24.34,124.16,80.6,12.75
Bilibino,38,RU,1570607459,97,68.06,166.44,4.91,2.44
Pyay,0,MM,1570607460,77,18.82,95.22,86.09,3.15
Luderitz,0,NA,1570607461,55,-26.65,15.16,66.2,25.28
Sokoto,77,NG,1570607461,63,13.06,5.24,82.85,8.68
Abbeville,100,FR,1570607461,87,50.11,1.83,53.6,11.41
Tecoanapa,90,MX,1570607462,94,16.99,-99.26,78.8,2.77
Mossoro,69,BR,1570607462,84,-5.19,-37.34,71.51,10.31
Kahama,94,TZ,1570607463,31,-3.83,32.6,87.71,8.84
Galveston,1,US,1570607463,81,40.58,-86.19,50.0,6.17
Dingle,100,PH,1570607464,92,11.0,122.67,77.45,4.79
Te Anau,100,NZ,1570607465,98,-45.41,167.72,46.67,4.54
Castelldefels,75,ES,1570607465,77,41.29,1.98,73.99,4.7
Batemans Bay,44,AU,1570607465,63,-35.71,150.18,59.0,4.0
Hasaki,20,JP,1570607465,56,35.73,140.83,70.0,10.29
Remontnoye,40,RU,1570607466,70,46.56,43.66,46.4,15.66
Boa Vista,75,BR,1570607466,94,2.82,-60.67,73.4,6.93
Vao,100,EE,1570607466,94,59.1,26.19,38.75,4.47
Pingliang,100,CN,1570607466,75,35.54,106.68,49.73,7.63
Erenhot,0,CN,1570607467,22,43.65,111.97,63.77,16.55
Ha Giang,69,VN,1570607467,83,22.83,104.99,70.07,4.29
Livingston,1,US,1570607468,100,30.71,-94.93,66.99,2.39
Esperantinopolis,5,BR,1570607468,92,-4.87,-44.71,71.15,3.89
Wenling,98,CN,1570607468,54,28.38,121.38,75.0,2.8
Gursahaiganj,0,IN,1570607469,33,27.12,79.73,91.67,6.78
Yerofey Pavlovich,100,RU,1570607469,71,53.97,121.97,32.09,4.68
Sur,0,OM,1570607469,39,22.57,59.53,87.71,8.32
Tarko-Sale,80,RU,1570607470,71,64.92,77.78,42.01,15.99
Ambilobe,55,MG,1570607470,30,-13.19,49.05,93.31,18.86
Waipawa,82,NZ,1570607470,94,-39.94,176.59,50.27,1.03
Aksarka,100,RU,1570607471,89,66.56,67.8,39.83,1.66
Fontainebleau,100,FR,1570607471,93,48.4,2.7,54.0,11.41
Demirci,0,TR,1570607471,64,39.05,28.66,63.0,7.0
Ojinaga,40,US,1570607471,39,29.56,-104.41,78.8,3.36
Glens Falls,1,US,1570607472,93,43.31,-73.64,46.99,3.36
Geraldton,40,CA,1570607472,81,49.72,-86.95,50.0,9.17
Hami,100,CN,1570607472,14,42.84,93.51,71.69,4.5
Gambo,100,CF,1570607473,65,4.65,22.26,79.79,4.32
Zeya,100,RU,1570607473,92,53.74,127.27,31.19,7.07
Agadez,100,NE,1570607473,51,16.97,7.99,82.4,6.93
Egvekinot,100,RU,1570607474,87,66.32,-179.17,24.57,13.8
Qaqortoq,75,GL,1570607474,77,60.72,-46.03,37.4,3.44
Baruun-Urt,0,MN,1570607475,58,46.68,113.28,47.57,22.12
Sungai Pelek,75,MY,1570607475,79,2.64,101.72,87.8,4.7
Sistranda,0,NO,1570607475,65,63.73,8.83,45.0,13.87
Kentau,0,KZ,1570607476,17,43.52,68.5,76.19,3.11
